Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-09 00:00:00-04:00,549.25,558.75,546.75,556.5,63609,0.0,0.0
2020-04-13 00:00:00-04:00,560.75,564.5,552.5,555.0,53253,0.0,0.0
2020-04-14 00:00:00-04:00,555.75,556.75,546.0,548.75,53925,0.0,0.0
2020-04-15 00:00:00-04:00,546.5,548.75,529.75,540.25,67687,0.0,0.0
2020-04-16 00:00:00-04:00,538.75,545.25,528.0,529.75,31461,0.0,0.0
2020-04-17 00:00:00-04:00,528.5,536.0,524.5,533.5,23903,0.0,0.0
2020-04-20 00:00:00-04:00,536.0,562.0,535.25,548.75,40953,0.0,0.0
2020-04-21 00:00:00-04:00,551.5,557.0,541.75,546.75,18717,0.0,0.0
2020-04-22 00:00:00-04:00,547.75,549.75,538.0,543.0,18840,0.0,0.0
2020-04-23 00:00:00-04:00,542.0,551.5,538.5,547.0,22944,0.0,0.0
2020-04-24 00:00:00-04:00,549.25,550.75,526.0,526.75,44703,0.0,0.0
2020-04-27 00:00:00-04:00,529.5,530.0,518.25,521.0,12033,0.0,0.0
2020-04-28 00:00:00-04:00,523.0,528.0,517.25,526.75,9158,0.0,0.0
2020-04-29 00:00:00-04:00,525.0,525.0,512.75,519.5,5247,0.0,0.0
2020-04-30 00:00:00-04:00,517.0,529.75,511.0,529.75,894,0.0,0.0
2020-05-01 00:00:00-04:00,528.75,528.75,520.5,521.5,119,0.0,0.0
2020-05-04 00:00:00-04:00,516.0,526.75,516.0,524.25,35,0.0,0.0
2020-05-05 00:00:00-04:00,519.0,527.0,519.0,525.5,28,0.0,0.0
2020-05-06 00:00:00-04:00,521.25,524.75,521.25,524.75,80,0.0,0.0
2020-05-07 00:00:00-04:00,531.0,531.0,529.0,529.0,38,0.0,0.0
2020-05-08 00:00:00-04:00,529.5,533.0,529.5,529.5,24,0.0,0.0
2020-05-11 00:00:00-04:00,537.75,537.75,524.75,524.75,6,0.0,0.0
2020-05-12 00:00:00-04:00,521.75,521.75,521.75,521.75,8,0.0,0.0
2020-05-13 00:00:00-04:00,510.5,510.5,510.5,510.5,15,0.0,0.0
2020-05-14 00:00:00-04:00,510.5,510.5,510.5,510.5,44141,0.0,0.0
2020-05-15 00:00:00-04:00,502.5,508.0,497.5,500.25,49768,0.0,0.0
2020-05-18 00:00:00-04:00,501.5,502.75,493.75,497.0,42218,0.0,0.0
2020-05-19 00:00:00-04:00,496.75,501.5,496.25,498.75,43782,0.0,0.0
2020-05-20 00:00:00-04:00,499.5,517.75,496.0,513.75,87800,0.0,0.0
2020-05-21 00:00:00-04:00,515.0,524.0,512.0,516.0,75219,0.0,0.0
2020-05-22 00:00:00-04:00,515.0,516.25,503.25,508.75,59252,0.0,0.0
2020-05-26 00:00:00-04:00,504.25,512.25,504.25,506.75,48956,0.0,0.0
2020-05-27 00:00:00-04:00,507.75,511.75,501.25,504.5,41180,0.0,0.0
2020-05-28 00:00:00-04:00,505.25,518.75,503.75,514.5,64133,0.0,0.0
2020-05-29 00:00:00-04:00,513.5,522.25,511.75,520.75,56405,0.0,0.0
2020-06-01 00:00:00-04:00,520.0,520.75,511.5,515.25,62138,0.0,0.0
2020-06-02 00:00:00-04:00,517.0,517.25,506.75,508.0,76980,0.0,0.0
2020-06-03 00:00:00-04:00,509.75,515.5,506.5,512.0,70048,0.0,0.0
2020-06-04 00:00:00-04:00,512.25,529.0,512.0,523.75,76243,0.0,0.0
2020-06-05 00:00:00-04:00,526.75,527.75,513.25,515.25,100263,0.0,0.0
2020-06-08 00:00:00-04:00,517.0,517.75,508.5,511.5,89831,0.0,0.0
2020-06-09 00:00:00-04:00,512.0,514.0,500.75,504.5,105093,0.0,0.0
2020-06-10 00:00:00-04:00,505.0,509.25,502.5,506.25,77126,0.0,0.0
2020-06-11 00:00:00-04:00,508.75,509.0,498.5,499.25,90884,0.0,0.0
2020-06-12 00:00:00-04:00,499.0,504.75,495.25,502.0,71166,0.0,0.0
2020-06-15 00:00:00-04:00,499.75,505.5,497.5,504.75,51218,0.0,0.0
2020-06-16 00:00:00-04:00,506.5,507.25,491.0,496.0,67274,0.0,0.0
2020-06-17 00:00:00-04:00,494.5,495.75,487.25,488.75,60132,0.0,0.0
2020-06-18 00:00:00-04:00,488.5,492.0,480.5,483.5,51883,0.0,0.0
2020-06-19 00:00:00-04:00,482.75,485.5,476.0,481.25,58288,0.0,0.0
2020-06-22 00:00:00-04:00,480.5,486.0,477.75,485.0,35478,0.0,0.0
2020-06-23 00:00:00-04:00,485.25,488.75,479.25,486.0,38396,0.0,0.0
2020-06-24 00:00:00-04:00,486.75,488.0,480.0,481.25,22216,0.0,0.0
2020-06-25 00:00:00-04:00,480.0,489.25,478.75,486.75,46252,0.0,0.0
2020-06-26 00:00:00-04:00,486.5,487.0,468.25,474.0,64057,0.0,0.0
2020-06-29 00:00:00-04:00,473.5,488.75,473.0,485.5,16749,0.0,0.0
2020-06-30 00:00:00-04:00,483.75,495.5,478.5,490.0,2721,0.0,0.0
2020-07-01 00:00:00-04:00,489.75,498.75,489.75,498.75,718,0.0,0.0
2020-07-02 00:00:00-04:00,498.25,499.0,486.5,490.0,291,0.0,0.0
2020-07-06 00:00:00-04:00,489.0,489.5,485.75,489.5,76,0.0,0.0
2020-07-07 00:00:00-04:00,492.75,495.0,491.5,492.25,99,0.0,0.0
2020-07-08 00:00:00-04:00,517.5,517.5,517.5,517.5,84,0.0,0.0
2020-07-09 00:00:00-04:00,530.0,537.75,520.75,526.25,15,0.0,0.0
2020-07-10 00:00:00-04:00,536.75,543.0,535.75,535.75,18,0.0,0.0
2020-07-13 00:00:00-04:00,536.0,536.0,524.75,524.75,60,0.0,0.0
2020-07-14 00:00:00-04:00,524.75,524.75,524.75,524.75,59738,0.0,0.0
2020-07-15 00:00:00-04:00,527.0,551.75,526.75,550.75,97654,0.0,0.0
2020-07-16 00:00:00-04:00,550.0,551.5,534.0,535.25,96898,0.0,0.0
2020-07-17 00:00:00-04:00,535.75,540.0,530.75,534.75,52664,0.0,0.0
2020-07-20 00:00:00-04:00,535.0,535.25,517.0,522.0,84615,0.0,0.0
2020-07-21 00:00:00-04:00,520.5,531.5,518.5,527.75,62298,0.0,0.0
2020-07-22 00:00:00-04:00,525.75,540.25,523.75,534.5,59562,0.0,0.0
2020-07-23 00:00:00-04:00,534.75,536.0,527.0,529.5,46720,0.0,0.0
2020-07-24 00:00:00-04:00,530.75,544.0,530.0,539.5,63634,0.0,0.0
2020-07-27 00:00:00-04:00,538.75,539.0,526.25,527.75,47270,0.0,0.0
2020-07-28 00:00:00-04:00,526.5,529.75,519.25,523.5,51347,0.0,0.0
2020-07-29 00:00:00-04:00,523.5,533.25,523.5,532.75,42240,0.0,0.0
2020-07-30 00:00:00-04:00,531.75,534.5,525.0,529.5,47622,0.0,0.0
